sensorId,attachedAt,attachedTill,assetId,sensorTechnology
I000566,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121366243,GPS
I000570,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324259,GPS
I000575,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121325046,GPS
I000576,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121325039,GPS
I000594,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121325000,GPS
I000602,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349167,GPS
I000607,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349181,GPS
I000629,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349264,GPS
I000631,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121344699,GPS
I000638,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349187,GPS
I000662,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121344701,GPS
I000681,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121344686,GPS
I000691,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121366268,GPS
I000692,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121366287,GPS
I000699,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121366258,GPS
I000710,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349214,GPS
I000713,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324418,GPS
I000732,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121325117,GPS
I000737,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324379,GPS
I000740,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349177,GPS
I000742,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349198,GPS
I000748,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121325115,GPS
I000749,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324405,GPS
I000752,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349279,GPS
I000767,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349281,GPS
I000773,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349192,GPS
