region,locationType,ifcoSystemPartner,locationTag,locationName,extLocationId,countryName
EU,Distribution Centre,Sonae,DC,ENTREPOSTO LISBOA E-COMMERCE (CDL),becee1b5-952d-45e6-801f-68b06b048c9a,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Montijo,f1e578c2-279d-4d23-b657-5764cb5f3cf4,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Fanzeres,8f3d91a8-9b2a-438f-87cc-d3552e3353ed,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Tomar,b34cbae3-e08b-43d1-8b70-d5dc76e9f6b1,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Fiaes,a4d3c469-5715-4ea7-9217-cef6ef709b5e,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Grandola,38b70d49-4cd0-4c09-94d3-1f1bb003cd33,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Alges,51284b6a-a00f-452b-ba71-8adea7b8c93b,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Cova da Piedade,10774c08-7ca0-4c8a-ae57-29140764859c,Portugal
EU,Shop / Point of Sale,Sonae,POS,Meu Super Pereira,a8697231-a9d8-4554-80d1-0c8947aafe1b,Portugal
EU,Shop / Point of Sale,AUCHAN,POS,AUCHAN ALMADA - 12,56cb7b0f-68e2-4bef-8dd3-eecb405cc133,Portugal
EU,Producer,null,PRD,Fairfruit,7261d58b-be18-4b50-9e92-6ec18103b711,Portugal
EU,Distribution Centre,Sonae,DC,ENTREPOSTO DA MADEIRA - Agua de Pena,f1e7a628-8b39-4575-a4d6-328fd4d97099,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Lisboa - Barbosa du Bocage,3f39e0ec-8620-456e-8fc7-ee9686de8fb5,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Ovar,8bda5040-cdf4-450e-ab45-ba6354d5045b,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Lousada,128491aa-abd0-4547-aa8e-743bfcaa5267,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Golega,5e213386-9e1f-4540-b78c-6c4050b60d4c,Portugal
EU,Shop / Point of Sale,Sonae,POS,CBD GAFANHA NAZARE - 2608,fb5dfd29-0dd0-487b-8c8c-fc604de8c773,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Seixal,0df5abe4-ab18-42bc-a046-e00f8eeb6fe3,Portugal
EU,Producer,null,PRD,Eporifrutas SA,22890927-088b-48c6-b035-a1e5c18c54c2,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Buarcos,8aba91cf-e3ca-4d51-a4bd-c3d1df85b8c8,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Santo Antonio dos Cavaleiros,2ddef971-cca6-4216-b55d-23a67428a466,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Cantanhede,b4718a8f-1fe1-4ca3-9ef4-093227740d9b,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Serta,3c802843-40fe-4a93-bfd8-f5c8e0869e08,Portugal
EU,Service Centre / Wash Centre,null,SC,IFCO SC Warrington,78b54a29-ab16-46df-a142-7b2bf3da5e32,Great Britain
EU,Shop / Point of Sale,Sonae,POS,Continente Oeiras,b53a8f6c-2357-4030-92df-e30d302edc25,Portugal
EU,Producer,null,PRD,PAM Prod. Distrib. Hort. Lit. Lda.,cc01190a-102a-4552-8ec4-251166880981,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Porto - Rua Serpa Pinto,1eece457-4f3f-4bfd-9c58-c9362ae7effb,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Braga - Quinta das Portas,54109d51-3d13-4c4c-b6ac-e965d1f053f2,Portugal
EU,Shop / Point of Sale,Sonae,POS,CBD 800 PEVIDEM - 2252,629121a3-0b41-48c8-93ed-753c6c8f6dcb,Portugal
