PortalId,SiteID,PortalName
74B5907D-8306-4FB5-AA15-94E435CD568B,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho SW Rollup
3A13E5BF-9A3E-4D47-868E-9633A81CCDF4,238882BF-954F-EB11-A607-000D3A12CA66,IFCO SA Washline 3
F85E1D5F-E939-4D95-9DFA-9B2FE0C23213,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 03
DE7CEA02-7639-4100-87DB-9DCE4D8B21B5,BEBAE8D9-8061-EB11-9889-000D3A103234,Fresno Outbound 07
D95E9EF1-97A5-4BCC-829D-9E93A2FC4841,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Outbound 3
79549095-0016-4C17-BAF8-9F5466788575,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Outbound 4
84E55EBC-DBE7-4ABF-8AA6-A381704F9DDA,0037C750-36C5-EB11-A7AD-501AC586A223,Indy Dock 13
4A314C44-136B-4A37-AB28-A591C2A910E0,CFB0DF4C-371A-EC11-981F-A04A5E9D8BA9,York Dock 17
25EF4FF1-19AF-4930-9F32-A7A9DF44F3DD,BEBAE8D9-8061-EB11-9889-000D3A103234,Fresno Inbound 06
CFA718E3-A93B-487C-99A6-A898FA10EB90,0037C750-36C5-EB11-A7AD-501AC586A223,Indy Washline 1
41FC7334-34D9-4588-B33F-A8B152422E8B,CFB0DF4C-371A-EC11-981F-A04A5E9D8BA9,York Washline 1
730E6A4B-AB05-4E42-809F-AD3CA806418D,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 09
429A8272-6B37-4EF3-AC43-B10F124DE8F7,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Inbound 07
D7F10A99-D4F9-4863-9A2D-B25C52DA0CC4,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 04
1C34EC3E-C790-4528-A589-B32F46527C6A,BEBAE8D9-8061-EB11-9889-000D3A103234,Fresno Outbound 08
42530E33-7EBF-4D10-B13D-B4303F76F626,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Inbound 11
C90DDEA6-76A3-4467-9C0D-B602E6C9AA21,0037C750-36C5-EB11-A7AD-501AC586A223,Indy Dock 08
44F0DBEE-34FB-42C3-B1A0-B62682E05DF2,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Outbound 7
A95D5CB6-467E-488F-A922-B6524789615F,0037C750-36C5-EB11-A7AD-501AC586A223,Indy Dock 04
4D1821D8-0EE6-45B9-9A54-BBFEB356CFC3,6C5AF2E1-451A-EC11-981F-A04A5E9D8BA9,Guelph Dock 05
5B54A299-DDB1-49EC-86B6-BECC804AEB7C,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 02
8017257D-9D49-4967-B061-BFF87BF1D561,0037C750-36C5-EB11-A7AD-501AC586A223,Indy Dock 18
76F0F0EB-D72A-49EB-99EF-C4CA667E1E34,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 06
4B5F7431-8369-4BA2-A53B-C79C88BEAE08,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 08
85EBF60E-6BD2-4459-BA7C-CA8C2630D33B,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 10
EC5CA34E-A79D-4082-9C5F-CA8FEE9AB2E0,238882BF-954F-EB11-A607-000D3A12CA66,IFCO SA Dock 19
